'version'; 'constraints'; 'alpha'; 'support'; 'mode'; 'file'; 'time' 
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 6774.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5735.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5376.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 49298.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 42408.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 42169.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5716.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5282.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5373.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 31209.0
